"","代码","名称","日期","开盘价(元)","最高价(元)","最低价(元)","收盘价(元)","涨跌幅","成交额(百万)","成交量(股)"
"1","000300.SH","沪深300",2022-12-15 14:05:00,3948.17,3948.2,3947.4,3947.66,-1e-04,447.31,21620200
"2","000300.SH","沪深300",2022-12-15 14:06:00,3947.37,3949.21,3947.37,3948.79,3e-04,466.58,21321800
"3","000300.SH","沪深300",2022-12-15 14:07:00,3948.97,3949.22,3948.85,3949.22,1e-04,401.98,18841500
"4","000300.SH","沪深300",2022-12-15 14:08:00,3949.14,3951.81,3949.14,3951.6,6e-04,643.85,26792000
"5","000300.SH","沪深300",2022-12-15 14:09:00,3951.32,3951.51,3950.97,3951.25,-1e-04,456.8,20230900
"6","000300.SH","沪深300",2022-12-15 14:10:00,3950.82,3951.76,3950.82,3951.48,1e-04,563.02,31039300
"7","000300.SH","沪深300",2022-12-15 14:11:00,3951.69,3953.29,3951.61,3953.13,4e-04,751.3,31558900
"8","000300.SH","沪深300",2022-12-15 14:12:00,3953.08,3953.64,3952.57,3952.57,-1e-04,613.76,26639600
"9","000300.SH","沪深300",2022-12-15 14:13:00,3952.85,3952.96,3952.3,3952.34,-1e-04,580.13,29688000
"10","000300.SH","沪深300",2022-12-15 14:14:00,3952.47,3952.68,3950.69,3950.77,-4e-04,602.39,38186200
"11","000300.SH","沪深300",2022-12-15 14:15:00,3950.82,3951.07,3950.32,3950.94,0,580.28,31616300
"12","000300.SH","沪深300",2022-12-15 14:16:00,3950.98,3952.61,3950.98,3952.39,4e-04,572.7,25438200
"13","000300.SH","沪深300",2022-12-15 14:17:00,3952.66,3953.89,3952.59,3953.89,4e-04,701.56,27350000
"14","000300.SH","沪深300",2022-12-15 14:18:00,3953.66,3954.49,3953.66,3954.13,1e-04,646.34,25780200
"15","000300.SH","沪深300",2022-12-15 14:19:00,3954.24,3954.86,3953.97,3954.54,1e-04,651.42,29546500
"16","000300.SH","沪深300",2022-12-15 14:20:00,3954.46,3954.82,3953.29,3953.57,-2e-04,742.97,29541200
"17","000300.SH","沪深300",2022-12-15 14:21:00,3953.58,3954.12,3953.58,3953.84,1e-04,539.58,24657000
"18","000300.SH","沪深300",2022-12-15 14:22:00,3953.96,3956.01,3953.96,3956.01,5e-04,884.13,36065200
"19","000300.SH","沪深300",2022-12-15 14:23:00,3956.36,3957.26,3956.36,3956.86,2e-04,824.94,32393800
"20","000300.SH","沪深300",2022-12-15 14:24:00,3956.94,3957.93,3956.87,3957.8,2e-04,934.4,31025700
"21","000300.SH","沪深300",2022-12-15 14:25:00,3957.8,3958.84,3957.78,3958.82,3e-04,944.93,33436200
"22","000300.SH","沪深300",2022-12-15 14:26:00,3958.68,3958.68,3954.88,3955.23,-9e-04,929.43,44171700
"23","000300.SH","沪深300",2022-12-15 14:27:00,3955.23,3955.23,3953.86,3953.86,-3e-04,641.99,34019500
"24","000300.SH","沪深300",2022-12-15 14:28:00,3953.86,3954.27,3953.72,3954,0,570.41,27837600
"25","000300.SH","沪深300",2022-12-15 14:29:00,3954.37,3954.58,3954.15,3954.33,1e-04,558.49,26420400
"26","000300.SH","沪深300",2022-12-15 14:30:00,3954.36,3954.36,3951.66,3951.94,-6e-04,802.38,36730100
"27","000300.SH","沪深300",2022-12-15 14:31:00,3951.65,3952.58,3951.65,3952.07,0,647.62,33140300
"28","000300.SH","沪深300",2022-12-15 14:32:00,3952.33,3952.33,3951.18,3951.38,-2e-04,624,30598400
"29","000300.SH","沪深300",2022-12-15 14:33:00,3951.12,3951.12,3949.46,3949.77,-4e-04,667.6,34180900
"30","000300.SH","沪深300",2022-12-15 14:34:00,3949.66,3950.16,3949.52,3949.56,-1e-04,652.3,36546300
"31","000300.SH","沪深300",2022-12-15 14:35:00,3949.43,3949.74,3948.96,3949.5,0,594.45,29374100
"32","000300.SH","沪深300",2022-12-15 14:36:00,3949.49,3951.25,3949.49,3950.97,4e-04,659.7,26693400
"33","000300.SH","沪深300",2022-12-15 14:37:00,3950.9,3951.4,3950.59,3950.59,-1e-04,597,25250000
"34","000300.SH","沪深300",2022-12-15 14:38:00,3950.64,3951.23,3950.64,3951.07,1e-04,617.43,26407100
"35","000300.SH","沪深300",2022-12-15 14:39:00,3951.01,3951.01,3950.01,3950.56,-1e-04,657.5,30131700
"36","000300.SH","沪深300",2022-12-15 14:40:00,3950.34,3950.78,3950.06,3950.21,-1e-04,725.62,33785100
"37","000300.SH","沪深300",2022-12-15 14:41:00,3950.2,3950.6,3949.8,3950.21,0,735.12,37368900
"38","000300.SH","沪深300",2022-12-15 14:42:00,3949.98,3950.11,3948.93,3948.93,-3e-04,836.45,46457000
"39","000300.SH","沪深300",2022-12-15 14:43:00,3948.97,3949.71,3948.97,3949.56,2e-04,800.77,36145100
"40","000300.SH","沪深300",2022-12-15 14:44:00,3949.4,3950.1,3949.39,3949.96,1e-04,729.55,37936100
"41","000300.SH","沪深300",2022-12-15 14:45:00,3949.87,3950.95,3949.87,3950.91,2e-04,923.79,44831300
"42","000300.SH","沪深300",2022-12-15 14:46:00,3950.74,3950.74,3949.44,3949.6,-3e-04,813.3,37072300
"43","000300.SH","沪深300",2022-12-15 14:47:00,3949.71,3950.01,3949.34,3949.83,1e-04,882.7,40630300
"44","000300.SH","沪深300",2022-12-15 14:48:00,3949.78,3949.98,3948.65,3948.89,-2e-04,916.36,47121300
"45","000300.SH","沪深300",2022-12-15 14:49:00,3948.81,3948.81,3948.25,3948.75,0,857.1,40115200
"46","000300.SH","沪深300",2022-12-15 14:50:00,3948.6,3948.87,3948.2,3948.43,-1e-04,981.03,55524500
"47","000300.SH","沪深300",2022-12-15 14:51:00,3948.52,3949,3948.17,3948.79,1e-04,831.75,44216500
"48","000300.SH","沪深300",2022-12-15 14:52:00,3948.73,3949.18,3948.73,3949.11,1e-04,853.45,48316600
"49","000300.SH","沪深300",2022-12-15 14:53:00,3948.97,3948.97,3948.13,3948.72,-1e-04,1000.51,48214800
"50","000300.SH","沪深300",2022-12-15 14:54:00,3948.54,3949.06,3947.76,3948.85,0,1032.39,52931700
"51","000300.SH","沪深300",2022-12-15 14:55:00,3948.93,3949.82,3948.65,3949.61,2e-04,1078.93,55465400
"52","000300.SH","沪深300",2022-12-15 14:56:00,3949.6,3950.52,3949.51,3950.51,2e-04,1218.66,67324600
"53","000300.SH","沪深300",2022-12-15 14:57:00,3950.72,3950.73,3950.65,3950.65,0,58.63,2111600
"54","000300.SH","沪深300",2022-12-15 15:00:00,3951.34,3951.99,3951.34,3951.99,3e-04,2149.18,109926900
"55","000300.SH","沪深300",2022-12-16 09:30:00,3931.23,3942.59,3930.22,3938.63,-0.0034,4804.99,268227400
"56","000300.SH","沪深300",2022-12-16 09:31:00,3938.8,3941.51,3937.89,3940.66,5e-04,2430.87,117357900
"57","000300.SH","沪深300",2022-12-16 09:32:00,3940.62,3940.62,3937.05,3937.78,-7e-04,2043.84,96791900
"58","000300.SH","沪深300",2022-12-16 09:33:00,3938.04,3938.35,3935.49,3935.49,-6e-04,1707.89,79388800
"59","000300.SH","沪深300",2022-12-16 09:34:00,3935.39,3938.39,3935.23,3938.39,7e-04,1541.08,74541000
"60","000300.SH","沪深300",2022-12-16 09:35:00,3938.43,3939.92,3937.99,3938.42,0,1637.19,76789600
"61","000300.SH","沪深300",2022-12-16 09:36:00,3937.84,3940.35,3937.84,3938.78,1e-04,1496.74,76298500
"62","000300.SH","沪深300",2022-12-16 09:37:00,3938.84,3943.75,3938.84,3943.36,0.0012,1421.42,79394900
"63","000300.SH","沪深300",2022-12-16 09:38:00,3942.68,3943,3940.85,3942.57,-2e-04,1436.67,66727000
