SPX Index,,,,,,,
Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2023/2/3 22:30,4136.69,4134.65,4136.69,4128.4,0,0,60
2023/2/3 22:31,4134.68,4135.12,4135.12,4130.7,0,0,60
2023/2/3 22:32,4135.29,4139.3,4139.35,4134.89,0,0,60
2023/2/3 22:33,4138.76,4136.47,4139.34,4135.6,0,0,60
2023/2/3 22:34,4136.82,4137.53,4138.72,4135.92,0,0,60
2023/2/3 22:35,4137.99,4138.14,4138.14,4133.25,0,0,60
2023/2/3 22:36,4138.27,4141.16,4143.1,4137.21,0,0,60
2023/2/3 22:37,4141.06,4142.25,4142.56,4137.51,0,0,60
2023/2/3 22:38,4141.8,4142.29,4143.22,4140.81,0,0,60
2023/2/3 22:39,4142.42,4146.72,4147.08,4140.93,0,0,60
2023/2/3 22:40,4146.67,4149.23,4149.23,4145.05,0,0,60
2023/2/3 22:41,4149.69,4148.31,4150.59,4147.59,0,0,60
2023/2/3 22:42,4148.48,4146.27,4148.95,4145.55,0,0,60
2023/2/3 22:43,4145.94,4149.13,4149.93,4145.68,0,0,60
2023/2/3 22:44,4148.85,4148.01,4150.58,4146.35,0,0,60
2023/2/3 22:45,4148.45,4147.02,4148.45,4144.59,0,0,60
2023/2/3 22:46,4147.19,4153.57,4153.64,4144.98,0,0,60
2023/2/3 22:47,4153.31,4154.37,4154.37,4152.01,0,0,60
2023/2/3 22:48,4154.65,4156.45,4156.45,4153.57,0,0,60
2023/2/3 22:49,4156.45,4153.07,4157.43,4153.07,0,0,60
2023/2/3 22:50,4152.99,4154.9,4154.9,4149.25,0,0,60
2023/2/3 22:51,4155.12,4147.95,4155.75,4147.53,0,0,60
2023/2/3 22:52,4148.06,4145.01,4148.06,4143.54,0,0,60
2023/2/3 22:53,4144.58,4150.86,4150.86,4144.58,0,0,60
2023/2/3 22:54,4150.88,4152.77,4152.81,4149.24,0,0,60
2023/2/3 22:55,4152.78,4152.15,4153.21,4150.75,0,0,60
2023/2/3 22:56,4151.95,4154.36,4154.36,4149.44,0,0,60
2023/2/3 22:57,4154.8,4151.38,4155.09,4150.89,0,0,60
2023/2/3 22:58,4151.67,4147.95,4151.67,4147.64,0,0,60
2023/2/3 22:59,4147.85,4149.17,4151.17,4147.83,0,0,60
2023/2/3 23:00,4143.45,4144.26,4145.68,4139.1,0,0,60
2023/2/3 23:01,4144.74,4141.87,4146.63,4140.84,0,0,60
2023/2/3 23:02,4142.58,4141.09,4144.12,4137.86,0,0,60
2023/2/3 23:03,4141.65,4149.04,4149.33,4140.47,0,0,60
2023/2/3 23:04,4149.05,4145.07,4152.09,4145.01,0,0,60
2023/2/3 23:05,4143.78,4141.01,4144.53,4140.72,0,0,60
2023/2/3 23:06,4141.18,4139.48,4144.4,4139.48,0,0,60
2023/2/3 23:07,4139.7,4140.71,4144.75,4139.64,0,0,60
2023/2/3 23:08,4141.68,4141.56,4141.92,4137.91,0,0,60
2023/2/3 23:09,4141.53,4144.33,4144.67,4141.28,0,0,60
2023/2/3 23:10,4143.96,4145.78,4146.77,4142.09,0,0,60
2023/2/3 23:11,4145.75,4144.96,4145.75,4141.41,0,0,60
2023/2/3 23:12,4144.91,4153.41,4154.23,4144.04,0,0,60
2023/2/3 23:13,4152.78,4154.68,4155.93,4152.78,0,0,60
2023/2/3 23:14,4154.01,4157.97,4157.98,4152.58,0,0,60
2023/2/3 23:15,4157.48,4157.01,4157.69,4155.42,0,0,60
2023/2/3 23:16,4156.97,4161.24,4162.28,4156.77,0,0,60
2023/2/3 23:17,4161.5,4165.9,4166.02,4160.78,0,0,60
2023/2/3 23:18,4166.33,4163.24,4167.34,4163.24,0,0,60
2023/2/3 23:19,4163.02,4160.62,4164.65,4160.26,0,0,60
2023/2/3 23:20,4160.79,4163.51,4164.81,4160.19,0,0,60
2023/2/3 23:21,4163.48,4164.86,4165.28,4163.42,0,0,60
2023/2/3 23:22,4164.52,4164.77,4166.11,4163.97,0,0,60
2023/2/3 23:23,4165.06,4167.85,4168.5,4164.95,0,0,60
2023/2/3 23:24,4168.22,4170,4170.67,4168.22,0,0,60
2023/2/3 23:25,4170.68,4169.33,4172.02,4168.27,0,0,60
2023/2/3 23:26,4169.51,4168.66,4169.72,4165.5,0,0,60
2023/2/3 23:27,4168.7,4169.39,4170.54,4168.34,0,0,60
2023/2/3 23:28,4169.33,4168.67,4169.65,4167.15,0,0,60
2023/2/3 23:29,4168.9,4162.99,4168.9,4162.99,0,0,60
2023/2/3 23:30,4163.37,4163.49,4165.49,4163.25,0,0,60
2023/2/3 23:31,4163.23,4165.17,4165.17,4161.45,0,0,60
2023/2/3 23:32,4165.64,4164.62,4166.43,4163.92,0,0,60
2023/2/3 23:33,4164.79,4167.82,4168.07,4163.8,0,0,60
2023/2/3 23:34,4167.89,4171.6,4171.6,4167.75,0,0,60
2023/2/3 23:35,4171.84,4171.81,4172.39,4170.62,0,0,60
2023/2/3 23:36,4171.99,4174.84,4174.86,4170.99,0,0,60
2023/2/3 23:37,4174.91,4175.67,4175.67,4173.55,0,0,60
2023/2/3 23:38,4175.8,4176.6,4177.37,4175.34,0,0,60
2023/2/3 23:39,4176.91,4176.73,4177.87,4176.71,0,0,60
2023/2/3 23:40,4176.79,4174.83,4176.86,4173.71,0,0,60
2023/2/3 23:41,4174.91,4172.83,4174.91,4172.8,0,0,60
2023/2/3 23:42,4173.06,4176.77,4177.63,4172.84,0,0,60
2023/2/3 23:43,4176.81,4178.11,4179.33,4176.81,0,0,60
2023/2/3 23:44,4178.14,4176.83,4178.19,4176.5,0,0,60
2023/2/3 23:45,4177.26,4177.8,4178.33,4176.49,0,0,60
2023/2/3 23:46,4178.07,4174.81,4178.2,4174.7,0,0,60
2023/2/3 23:47,4175.29,4177.65,4177.65,4174.71,0,0,60
2023/2/3 23:48,4177.74,4175.24,4177.92,4174.77,0,0,60
2023/2/3 23:49,4175.54,4175.01,4176.72,4175.01,0,0,60
2023/2/3 23:50,4175.06,4170.22,4175.06,4170.19,0,0,60
2023/2/3 23:51,4170.17,4170.43,4171.43,4169.92,0,0,60
2023/2/3 23:52,4170.55,4170.81,4171.12,4169.66,0,0,60
2023/2/3 23:53,4170.75,4170.08,4171.21,4170.05,0,0,60
2023/2/3 23:54,4169.97,4169.5,4170.96,4168.47,0,0,60
2023/2/3 23:55,4169.44,4170.05,4170.4,4168.81,0,0,60
2023/2/3 23:56,4169.9,4168.05,4169.9,4167.09,0,0,60
2023/2/3 23:57,4167.76,4166.18,4167.76,4164.16,0,0,60
2023/2/3 23:58,4166.19,4168.34,4168.71,4166.19,0,0,60
